Place of interest,Type of place,Station location,BiciMAD station,Station location
Centro Cultural el Torito (Moratalaz),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Camino de los Vinateros nº 108,219 - Marroquina,Calle Camino de los Vinateros nº 108
Centro Cultural la Elipa (Ciudad Lineal),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Avenida Marqués de Corbera nº 52,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52
Centro Integrado Santiago Apóstol (Hortaleza),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Avenida Pío XII nº 3,254 - Pío XII,Avenida Pío XII nº 3
Centro Juvenil Carabanchel Alto,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Glorieta Marqués de Vadillo nº 9,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Centro Juvenil El Aleph (Villa de Vallecas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Hacienda de Pavones nº 342,221 - Pavones,Calle Hacienda de Pavones nº 342
Centro Juvenil El Pardo,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Avenida Complutense nº 23,261 - Facultad Derecho,Avenida Complutense nº 23
Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Hacienda de Pavones nº 342,221 - Pavones,Calle Hacienda de Pavones nº 342
Centro Juvenil Hontalbilla (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de la Castellana nº 298,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Centro Juvenil Tetuán Punto Joven,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Raimundo Fernández Villaverde nº 33,133 - Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33
Centro Juvenil de Usera,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle San Delfín nº 9,228 - San Delfín,Calle San Delfín nº 9
Centro Social Comunitario Josefa Amar,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Sinesio Delgado nº 2,248 - Torre Cepsa,Calle Sinesio Delgado nº 2
Centro Social Polivalente de Vicálvaro,Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Hacienda de Pavones nº 342,221 - Pavones,Calle Hacienda de Pavones nº 342
Centro Sociocultural  Siena (Ciudad Lineal),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle José María de Pereda nº 1,232 - José María Pereda,Calle José María de Pereda nº 1
Centro Sociocultural Agustín Díaz (Moncloa - Aravaca),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Paseo de Moret nº 11,112 - Paseo de Moret,Paseo de Moret nº 11
Centro Sociocultural Alberto Sánchez (Puente de Vallecas),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Camino de Valderribas nº 94,226 - Sierra Toledana,Camino de Valderribas nº 94
Centro Sociocultural Alfonso XII (Fuencarral - El Pardo),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Avenida Complutense nº 23,261 - Facultad Derecho,Avenida Complutense nº 23
Centro Sociocultural Almirante Churruca (Latina),Centros Culturales Municipales (incluyen Socioculturales y Juveniles),Calle Caramuel nº 51,224 - Caramuel,Calle Caramuel nº 51
